"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Bolivia","Male <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","96.0",""
"Bosnia and Herzegovina","Female <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","11.9",""
"Bosnia and Herzegovina","Female <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","12.9",""
"Bosnia and Herzegovina","Female <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","14.0",""
"Bosnia and Herzegovina","Female <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","16.3",""
"Bosnia and Herzegovina","Male <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","14.9",""
"Bosnia and Herzegovina","Male <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","17.0",""
"Bosnia and Herzegovina","Male <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","19.6",""
"Bosnia and Herzegovina","Male <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","22.9",""
"Botswana","Female <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","53.3",""
"Botswana","Female <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","54.9",""
"Botswana","Female <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","45.8",""
"Botswana","Female <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","47.3",""
"Botswana","Male <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","64.3",""
"Botswana","Male <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","65.9",""
"Botswana","Male <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","57.7",""
"Botswana","Male <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","60.9",""
"Brazil","Female <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","23.5",""
"Brazil","Female <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","29.4",""
"Brazil","Female <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","36.5",""
"Brazil","Female <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","45.6",""
"Brazil","Male <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","31.0",""
"Brazil","Male <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","38.6",""
"Brazil","Male <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","48.3",""
"Brazil","Male <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","58.8",""
"Brunei","Female <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","4.9",""
"Brunei","Female <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","5.0",""
"Brunei","Female <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","5.6",""
"Brunei","Female <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","8.6",""
"Brunei","Male <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","7.2",""
"Brunei","Male <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","8.3",""
"Brunei","Male <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","9.6",""
"Brunei","Male <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","14.2",""
"Bulgaria","Female <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","10.8",""
"Bulgaria","Female <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","13.2",""
"Bulgaria","Female <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","10.0",""
"Bulgaria","Female <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","9.5",""
"Bulgaria","Male <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","14.3",""
"Bulgaria","Male <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","17.2",""
"Bulgaria","Male <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","21.5",""
"Bulgaria","Male <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","19.1",""
"Burkina Faso","Female <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","108.0",""
